family,block,K_selected,entropy.x,country,icl,bic,entropy.y
angulo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
antúnez,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
anzoátegui,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
aramburú,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
araníbar,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
arboleda,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
arenas,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
argáez,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
arroyo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
arrubla,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
aráoz,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
astete,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
astigueta,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
augier,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
avellaneda,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
awad,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
awada,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
ayala,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
ayerbe,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
aylwin,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
azcuénaga,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
azcárraga,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
azuola,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
bachelet,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
baduel,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
baillères,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
balanta,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
balcarce,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
baldrich,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
ballivián,1,2,512.0424614125509,bolivia,4987.040832507677,3962.955909682575,512.0424614125509
balmaceda,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
balta,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
barco,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
barrantes,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
barraquer,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
barreda,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
barrenechea_chile,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
barrientos,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
basadre,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
batlle,1,2,512.0424614125509,uruguay,4987.040832507677,3962.955909682575,512.0424614125509
